player,runs_scored,balls_faced_total,fours,sixes,balls_faced_legal,matches_played,innings_batted,dismissals,not_outs,batting_average,strike_rate,boundary_runs,boundary_percentage,dot_balls_x,dot_ball_percentage_x,highest_score,fifties,hundreds,runs_conceded,balls_bowled_total,wickets,balls_bowled_legal,matches_bowled,innings_bowled,overs_bowled,bowling_average,bowling_strike_rate,economy_rate,maidens,dot_balls_y,dot_ball_percentage_y,fours_conceded,sixes_conceded,no_balls,wides,best_bowling_wickets,best_bowling_runs,catches,stumpings,run_outs,total_fielding,image_id,image_url
KR Sen,0,3,0,0,3,1,1,0,1,0,0,0,0,3,100,0,0,0,396,255,14,243,12,12,40.3,28.28571429,17.35714286,9.777777778,1,83,34.1563786,41,16,0,12,4,0,3,0,0,3,,
KS Bharat,199,168,12,8,163,8,8,7,1,28.42857143,122.0858896,96,48.24120603,57,34.96932515,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,,
KS Sharma,16,25,1,0,25,3,3,3,0,5.333333333,64,4,25,12,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359761,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359761.png"
KS Williamson,2132,1734,187,64,1697,76,76,58,18,36.75862069,125.6334708,1132,53.0956848,585,34.4725987,89,18,0,31,18,0,18,2,2,3,0,0,10.33333333,0,2,11.11111111,1,2,0,0,0,0,40,0,1,41,383172,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383172.png"
KT Maphaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,39,1,36,2,2,6,90,36,15,0,11,30.55555556,12,5,0,3,1,0,0,0,0,0,,
KV Sharma,351,306,20,17,294,39,39,24,15,14.625,119.3877551,182,51.85185185,113,38.43537415,39,0,0,2130,1520,82,1495,82,82,249.1,25.97560976,18.23170732,8.548494983,3,483,32.30769231,117,125,0,25,5,0,17,0,2,19,359761,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359761.png"
KW Richardson,36,39,2,1,39,4,4,3,1,12,92.30769231,14,38.88888889,17,43.58974359,26,0,0,479,345,21,335,15,15,55.5,22.80952381,15.95238095,8.579104478,0,129,38.50746269,40,23,0,10,4,0,5,0,1,6,321594,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321594.png"
Kamran Akmal,128,78,13,8,78,6,6,4,2,32,164.1025641,100,78.125,33,42.30769231,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,320456,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320456.png"
Kamran Khan,3,5,0,0,5,1,1,1,0,3,60,0,0,3,60,3,0,0,248,177,14,167,9,9,27.5,17.71428571,11.92857143,8.910179641,0,63,37.7245509,25,10,0,10,4,0,4,0,1,5,,
Karanveer Singh,12,17,1,0,17,4,4,1,3,12,70.58823529,4,33.33333333,9,52.94117647,5,0,0,323,213,14,204,9,9,34,23.07142857,14.57142857,9.5,0,64,31.37254902,19,19,0,9,4,0,2,0,0,2,,
Kartik Tyagi,13,16,1,0,16,6,6,4,2,3.25,81.25,4,30.76923077,7,43.75,7,0,0,720,458,16,430,20,20,71.4,45,26.875,10.04651163,0,148,34.41860465,71,32,0,28,2,0,3,0,0,3,339150,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339150.png"
Kuldeep Yadav,183,224,16,3,216,32,32,9,23,20.33333333,84.72222222,82,44.80874317,108,50,35,0,0,2413,1786,90,1748,82,82,291.2,26.81111111,19.42222222,8.282608696,0,520,29.74828375,118,132,0,38,4,0,13,0,2,15,,
Kumar Kushagra,3,7,0,0,7,3,3,3,0,1,42.85714286,0,0,5,71.42857143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
L Ablish,0,2,0,0,2,1,1,0,1,0,0,0,0,2,100,0,0,0,76,45,5,42,3,3,7,15.2,8.4,10.85714286,0,10,23.80952381,11,1,0,3,3,0,0,0,0,0,,
L Balaji,36,50,2,1,49,13,13,7,6,5.142857143,73.46938776,14,38.88888889,28,57.14285714,15,0,0,2083,1574,85,1516,73,73,252.4,24.50588235,17.83529412,8.244063325,3,537,35.42216359,188,69,0,58,5,0,9,0,3,12,,
L Ngidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,342,28,326,14,14,54.2,16.42857143,11.64285714,8.466257669,1,131,40.18404908,39,22,0,16,4,0,1,0,0,1,322069,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322069.png"
L Ronchi,34,37,6,1,34,5,5,3,2,11.33333333,100,30,88.23529412,23,67.64705882,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,316525,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316525.png"
L Wood,9,3,0,1,3,1,1,0,1,0,300,6,66.66666667,0,0,9,0,0,94,38,1,37,2,2,6.1,94,37,15.24324324,0,8,21.62162162,12,5,0,1,1,0,0,0,0,0,324367,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324300/324367.png"
LA Carseldine,81,71,11,0,68,5,5,3,2,27,119.1176471,44,54.32098765,28,41.17647059,39,0,0,6,7,1,6,1,1,1,6,6,6,0,4,66.66666667,1,0,0,1,1,0,4,0,0,4,,
LA Pomersbach,302,251,25,13,246,16,16,10,6,30.2,122.7642276,178,58.94039735,104,42.27642276,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,,
LB Williams,1,2,0,0,2,1,1,0,1,0,50,0,0,1,50,1,0,0,74,42,1,38,2,2,6.2,74,38,11.68421053,0,12,31.57894737,7,3,0,4,1,0,1,0,0,1,329749,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329749.png"
LE Plunkett,1,3,0,0,3,2,2,1,1,1,33.33333333,0,0,2,66.66666667,1,0,0,228,154,4,150,7,7,25,57,37.5,9.12,0,39,26,15,12,0,4,3,0,2,0,0,2,319797,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319797.png"
LH Ferguson,68,48,6,2,46,7,7,3,4,22.66666667,147.826087,36,52.94117647,12,26.08695652,24,0,0,1451,1002,57,967,45,45,161.1,25.45614035,16.96491228,9.003102378,0,351,36.29782834,142,60,0,35,4,0,9,0,2,11,383174,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383174.png"
LI Meriwala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,1,19,1,1,3.1,32,19,10.10526316,0,6,31.57894737,4,1,0,0,1,0,0,0,0,0,,
LJ Wright,106,63,16,3,60,5,5,4,1,26.5,176.6666667,82,77.35849057,19,31.66666667,44,0,0,125,75,2,71,6,6,11.5,62.5,35.5,10.56338028,0,14,19.71830986,5,9,0,4,1,0,2,0,2,4,319799,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319799.png"
LMP Simmons,1079,878,109,44,852,29,29,26,3,41.5,126.6431925,700,64.87488415,376,44.1314554,100,11,1,34,18,1,18,1,1,3,34,18,11.33333333,0,2,11.11111111,2,2,0,0,1,0,10,0,1,11,316545,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316545.png"
LPC Silva,40,27,5,1,26,3,3,2,1,20,153.8461538,26,65,9,34.61538462,23,0,0,21,6,0,6,1,1,1,0,0,21,0,0,0,0,3,0,0,0,0,3,0,1,4,,
LR Shukla,405,358,33,16,350,33,33,27,6,15,115.7142857,228,56.2962963,144,41.14285714,48,0,0,458,326,17,316,27,27,52.4,26.94117647,18.58823529,8.696202532,0,109,34.49367089,39,16,0,10,3,0,15,0,6,21,,
LRPL Taylor,1017,847,66,46,822,54,54,38,16,26.76315789,123.7226277,540,53.09734513,309,37.59124088,81,3,0,24,13,0,12,2,2,2,0,0,12,0,0,0,0,2,0,1,0,0,18,0,1,19,,
LS Livingstone,939,609,66,66,578,39,39,32,7,29.34375,162.4567474,660,70.28753994,194,33.56401384,94,6,0,395,267,11,258,22,22,43,35.90909091,23.45454545,9.186046512,0,71,27.51937984,32,17,0,9,3,0,16,0,0,16,383152,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.png"
